coinc_event_id	simulation_id	far	snr	searched_area	searched_prob	offset	runtime
coinc_event:coinc_event_id:724472	sim_inspiral:simulation_id:21455	9.11069936486e-14	17.7288114066	65.1370552463	0.186854270094	4.35364149873	938.894536972
coinc_event:coinc_event_id:727601	sim_inspiral:simulation_id:22164	9.11069936486e-14	12.3580252717	657.783280471	0.743460720715	148.504977629	963.307225943
coinc_event:coinc_event_id:729652	sim_inspiral:simulation_id:22626	9.11069936486e-14	13.3704455481	173.156770178	0.334745528788	23.215339231	949.456445932
coinc_event:coinc_event_id:730133	sim_inspiral:simulation_id:22730	9.11069936486e-14	18.0407860924	312.781136436	0.720059116323	112.226658081	957.972540855
coinc_event:coinc_event_id:745746	sim_inspiral:simulation_id:26306	9.11069936486e-14	24.2785478454	2.35067790475	0.0219227187426	5.48342338064	572.277673006
coinc_event:coinc_event_id:722897	sim_inspiral:simulation_id:21098	5.17695487734e-16	23.0655789921	51.0321681951	0.772879345803	38.5923418925	2589.660285
coinc_event:coinc_event_id:721290	sim_inspiral:simulation_id:20721	5.17695487734e-16	20.3603815501	6.96843219881	0.299478822166	1.14002146539	2510.29725194
coinc_event:coinc_event_id:749466	sim_inspiral:simulation_id:27166	9.11069936486e-14	12.0233446462	425.993980797	0.579421853659	39.6977460887	696.650177002
coinc_event:coinc_event_id:754279	sim_inspiral:simulation_id:28277	9.11069936486e-14	12.2186474673	411.988268093	0.481753550412	73.5163109411	725.566102028
coinc_event:coinc_event_id:750243	sim_inspiral:simulation_id:27364	9.11069936486e-14	20.1311091229	339.572963267	0.705601096888	29.667102456	617.118685961
coinc_event:coinc_event_id:751851	sim_inspiral:simulation_id:27729	9.11069936486e-14	15.8318761024	29.480189288	0.0811208658488	12.9745463886	967.545899868
coinc_event:coinc_event_id:754550	sim_inspiral:simulation_id:28333	9.11069936486e-14	13.5695594381	293.424926744	0.681047337401	10.9380329014	1127.84858513
coinc_event:coinc_event_id:755340	sim_inspiral:simulation_id:28518	9.11069936486e-14	18.1180348825	538.747836446	0.805908120332	111.001112395	945.768344164
coinc_event:coinc_event_id:756853	sim_inspiral:simulation_id:28866	9.11069936486e-14	17.6200723285	107.547612256	0.503499905233	24.4324273606	660.210524082
coinc_event:coinc_event_id:758121	sim_inspiral:simulation_id:29158	9.11069936486e-14	29.9629465542	42.2958098315	0.461273529061	25.5026241457	973.028028011
coinc_event:coinc_event_id:760828	sim_inspiral:simulation_id:29797	9.11069936486e-14	15.4498002186	328.871969291	0.773632539236	18.3975797247	1055.0236609
coinc_event:coinc_event_id:762114	sim_inspiral:simulation_id:30093	9.11069936486e-14	12.668848294	102.223343194	0.261274764107	16.3332592126	1026.04920912
coinc_event:coinc_event_id:764189	sim_inspiral:simulation_id:30555	9.11069936486e-14	18.4664577391	44.535019049	0.269274961138	11.6526721268	1073.12569189
coinc_event:coinc_event_id:727980	sim_inspiral:simulation_id:22256	5.17695487734e-16	17.9136544149	0.677827973232	0.207596537744	0.397064341368	2158.01428318
coinc_event:coinc_event_id:755265	sim_inspiral:simulation_id:28500	4.8462049824e-15	12.1865002206	15.3080931754	0.772460647746	2.80417133366	2132.63536787
coinc_event:coinc_event_id:770669	sim_inspiral:simulation_id:32040	9.11069936486e-14	12.5301859765	85.2014189521	0.216472159744	21.154308028	925.970129967
coinc_event:coinc_event_id:780324	sim_inspiral:simulation_id:34208	9.11069936486e-14	12.3761066197	1734.97733221	0.943201111416	56.6853543394	1068.53769398
coinc_event:coinc_event_id:780521	sim_inspiral:simulation_id:34248	9.11069936486e-14	13.8961893996	322.655950731	0.465516156157	144.452984198	911.78977704
coinc_event:coinc_event_id:760158	sim_inspiral:simulation_id:29637	5.17695487734e-16	23.0998276255	31.4620369776	0.82516937141	2.03657362315	2563.87833905
coinc_event:coinc_event_id:782903	sim_inspiral:simulation_id:34805	9.11069936486e-14	12.7801517186	1473.47179191	0.952602889089	150.624656959	968.276659966
coinc_event:coinc_event_id:784159	sim_inspiral:simulation_id:439	9.11069936486e-14	12.0123023422	653.337646944	0.611202691849	78.1885868722	932.959367037
coinc_event:coinc_event_id:783865	sim_inspiral:simulation_id:239	9.11069936486e-14	15.0915938806	592.816706746	0.700546904931	90.807714366	942.172451973
coinc_event:coinc_event_id:784219	sim_inspiral:simulation_id:477	9.11069936486e-14	12.5429762434	1.84906881211	0.00446679206652	1.97421715014	813.519140005
coinc_event:coinc_event_id:784432	sim_inspiral:simulation_id:628	9.11069936486e-14	13.2587576695	995.035072251	0.876117172351	146.023120897	969.741865873
coinc_event:coinc_event_id:785360	sim_inspiral:simulation_id:1279	9.11069936486e-14	12.3310298118	245.178656107	0.388409287712	27.2128385017	946.397258043
coinc_event:coinc_event_id:765629	sim_inspiral:simulation_id:30880	5.17695487734e-16	33.3004944101	1.60646049279	0.255130567813	0.789547567263	1950.54899192
